State,Year,NAEP,US NAEP
Missouri,2013,239.5484,241.5508
Montana,2013,243.6989,241.5508
Nebraska,2013,243.1579,241.5508
Nevada,2013,236.2629,241.5508
New Hampshire,2013,252.9935,241.5508
New Jersey,2013,246.8709,241.5508
New Mexico,2013,232.7814,241.5508
New York,2013,240.3498,241.5508
North Carolina,2013,244.8017,241.5508
North Dakota,2013,246.4248,241.5508
Ohio,2013,245.5498,241.5508
Oklahoma,2013,238.9219,241.5508
Oregon,2013,240.0993,241.5508
Pennsylvania,2013,244.0126,241.5508
Puerto Rico,2013,182.0507,241.5508
Rhode Island,2013,241.4167,241.5508
South Carolina,2013,236.6259,241.5508
South Dakota,2013,240.9811,241.5508
Tennessee,2013,239.7748,241.5508
Texas,2013,241.9263,241.5508
Utah,2013,242.8207,241.5508
Vermont,2013,247.8033,241.5508
Virginia,2013,246.1775,241.5508
Washington,2013,246.2883,241.5508
West Virginia,2013,237.4406,241.5508
Wisconsin,2013,244.7063,241.5508
Wyoming,2013,246.5224,241.5508
United States,2011,240.6832,240.6832
Alabama,2011,231.286,240.6832
Alaska,2011,236.3597,240.6832
Arizona,2011,235.1576,240.6832
Arkansas,2011,237.8102,240.6832
California,2011,234.165,240.6832
Colorado,2011,244.4561,240.6832
Connecticut,2011,242.4134,240.6832
Delaware,2011,240.3598,240.6832
District of Columbia,2011,221.8083,240.6832
DoDEA,2011,240.821,240.6832
Florida,2011,239.8265,240.6832
Georgia,2011,238.3665,240.6832
Hawaii,2011,238.8219,240.6832
Idaho,2011,240.3288,240.6832
Illinois,2011,238.8369,240.6832
Indiana,2011,243.8369,240.6832
Iowa,2011,242.6049,240.6832
Kansas,2011,246.2553,240.6832
Kentucky,2011,240.8307,240.6832
Louisiana,2011,230.7789,240.6832
Maine,2011,244.257,240.6832
Maryland,2011,247.1066,240.6832
Massachusetts,2011,253.3965,240.6832
Michigan,2011,236.4022,240.6832
Minnesota,2011,249.1867,240.6832
Mississippi,2011,229.868,240.6832
Missouri,2011,240.4948,240.6832
Montana,2011,243.7966,240.6832
Nebraska,2011,239.8033,240.6832
Nevada,2011,237.0319,240.6832
New Hampshire,2011,251.7788,240.6832
New Jersey,2011,248.0042,240.6832
New Mexico,2011,232.8404,240.6832
New York,2011,237.5199,240.6832
North Carolina,2011,244.5179,240.6832
North Dakota,2011,245.1564,240.6832
Ohio,2011,244.0386,240.6832
Oklahoma,2011,237.4291,240.6832
Oregon,2011,236.9145,240.6832
Pennsylvania,2011,245.6549,240.6832
Puerto Rico,2011,181.5079,240.6832
Rhode Island,2011,241.6248,240.6832
South Carolina,2011,237.303,240.6832
South Dakota,2011,240.9798,240.6832
Tennessee,2011,232.9011,240.6832
Texas,2011,241.1018,240.6832
Utah,2011,242.5375,240.6832
Vermont,2011,246.6397,240.6832
Virginia,2011,245.3336,240.6832
Washington,2011,243.1829,240.6832
West Virginia,2011,234.6558,240.6832
Wisconsin,2011,244.6919,240.6832
Wyoming,2011,243.8744,240.6832
United States,2009,239.6719,239.6719
Alabama,2009,227.9627,239.6719
Alaska,2009,237.2123,239.6719
Arizona,2009,229.9911,239.6719
Arkansas,2009,237.5406,239.6719
California,2009,231.6749,239.6719
Colorado,2009,243.1324,239.6719
Connecticut,2009,244.7177,239.6719
Delaware,2009,239.4906,239.6719
District of Columbia,2009,219.2601,239.6719
DoDEA,2009,240.2891,239.6719
Florida,2009,241.9449,239.6719
Georgia,2009,236.0296,239.6719
Hawaii,2009,235.6798,239.6719
Idaho,2009,241.0428,239.6719
Illinois,2009,238.2857,239.6719
Indiana,2009,242.6168,239.6719
Iowa,2009,242.5956,239.6719
Kansas,2009,245.3087,239.6719
Kentucky,2009,238.8359,239.6719
Louisiana,2009,229.4325,239.6719
Maine,2009,244.4557,239.6719
Maryland,2009,243.795,239.6719
Massachusetts,2009,252.2548,239.6719
Michigan,2009,236.2797,239.6719
Minnesota,2009,249.4555,239.6719
Mississippi,2009,227.2623,239.6719
Missouri,2009,240.6844,239.6719
Montana,2009,244.4008,239.6719
Nebraska,2009,238.7485,239.6719
Nevada,2009,235.1523,239.6719
New Hampshire,2009,251.0718,239.6719
New Jersey,2009,246.5299,239.6719
New Mexico,2009,230.0296,239.6719
New York,2009,240.6411,239.6719
North Carolina,2009,243.7785,239.6719
North Dakota,2009,245.1895,239.6719
Ohio,2009,243.6876,239.6719
Oklahoma,2009,236.781,239.6719
Oregon,2009,238.0323,239.6719
Pennsylvania,2009,243.5879,239.6719
Puerto Rico,2009,NA,239.6719
Rhode Island,2009,238.7669,239.6719
South Carolina,2009,235.6683,239.6719
South Dakota,2009,242.0978,239.6719
Tennessee,2009,231.8255,239.6719
Texas,2009,240.4646,239.6719
Utah,2009,240.3187,239.6719
Vermont,2009,247.7672,239.6719
Virginia,2009,243.0713,239.6719
Washington,2009,242.2571,239.6719
West Virginia,2009,232.9831,239.6719
Wisconsin,2009,243.5853,239.6719
Wyoming,2009,242.0092,239.6719
United States,2007,239.7158,239.7158
Alabama,2007,228.52,239.7158
Alaska,2007,237.2739,239.7158
Arizona,2007,231.9369,239.7158
Arkansas,2007,237.6707,239.7158
California,2007,230.0341,239.7158
Colorado,2007,240.2059,239.7158
Connecticut,2007,242.7556,239.7158
Delaware,2007,241.7949,239.7158
District of Columbia,2007,213.6989,239.7158
DoDEA,2007,240.0846,239.7158
Florida,2007,242.0203,239.7158
Georgia,2007,235.209,239.7158
Hawaii,2007,234.2861,239.7158
Idaho,2007,240.9028,239.7158
Illinois,2007,237.287,239.7158
Indiana,2007,245.1443,239.7158
Iowa,2007,242.8196,239.7158
Kansas,2007,247.9237,239.7158
Kentucky,2007,235.0879,239.7158
Louisiana,2007,230.0431,239.7158
Maine,2007,242.3706,239.7158
Maryland,2007,240.3282,239.7158
Massachusetts,2007,252.4303,239.7158
Michigan,2007,237.6056,239.7158
Minnesota,2007,246.9978,239.7158
Mississippi,2007,227.6124,239.7158
Missouri,2007,239.4111,239.7158
Montana,2007,243.6188,239.7158
Nebraska,2007,238.0408,239.7158
Nevada,2007,231.7816,239.7158
New Hampshire,2007,248.5715,239.7158
New Jersey,2007,248.6215,239.7158
New Mexico,2007,228.0643,239.7158
New York,2007,242.543,239.7158
North Carolina,2007,241.618,239.7158
North Dakota,2007,245.4159,239.7158
Ohio,2007,244.5327,239.7158
Oklahoma,2007,236.8022,239.7158
Oregon,2007,236.0397,239.7158
Pennsylvania,2007,244.0013,239.7158
Puerto Rico,2007,NA,239.7158
Rhode Island,2007,235.8779,239.7158
South Carolina,2007,237.1074,239.7158
South Dakota,2007,241.2134,239.7158
Tennessee,2007,232.7537,239.7158
Texas,2007,242.3398,239.7158
Utah,2007,239.405,239.7158
Vermont,2007,246.3574,239.7158
Virginia,2007,243.5211,239.7158
Washington,2007,242.5422,239.7158
West Virginia,2007,236.3378,239.7158
Wisconsin,2007,244.1812,239.7158
Wyoming,2007,243.8669,239.7158
United States,2005,237.8707,237.8707
Alabama,2005,225.0712,237.8707
Alaska,2005,235.5107,237.8707
Arizona,2005,229.8007,237.8707
Arkansas,2005,235.5455,237.8707
California,2005,230.367,237.8707
Colorado,2005,239.2159,237.8707
Connecticut,2005,242.1207,237.8707
Delaware,2005,239.7169,237.8707
District of Columbia,2005,211.1223,237.8707
DoDEA,2005,238.7762,237.8707
Florida,2005,238.9306,237.8707
Georgia,2005,233.6357,237.8707
Hawaii,2005,230.0969,237.8707
Idaho,2005,241.6501,237.8707
Illinois,2005,233.0675,237.8707
Indiana,2005,240.0691,237.8707
Iowa,2005,239.8808,237.8707
Kansas,2005,245.782,237.8707
Kentucky,2005,231.4923,237.8707
Louisiana,2005,230.2312,237.8707
Maine,2005,240.6915,237.8707
Maryland,2005,238.4217,237.8707
Massachusetts,2005,247.337,237.8707
Michigan,2005,237.706,237.8707
Minnesota,2005,245.7462,237.8707
Mississippi,2005,226.6988,237.8707
Missouri,2005,235.0355,237.8707
Montana,2005,240.5755,237.8707
Nebraska,2005,237.7062,237.8707
Nevada,2005,229.8716,237.8707
New Hampshire,2005,245.6259,237.8707
New Jersey,2005,243.9789,237.8707
New Mexico,2005,224.0272,237.8707
New York,2005,238.174,237.8707
North Carolina,2005,241.2355,237.8707
North Dakota,2005,242.737,237.8707
Ohio,2005,242.1059,237.8707
Oklahoma,2005,233.9553,237.8707
Oregon,2005,238.3249,237.8707
Pennsylvania,2005,240.573,237.8707
Puerto Rico,2005,NA,237.8707
Rhode Island,2005,233.4368,237.8707
South Carolina,2005,238.3027,237.8707
South Dakota,2005,241.5942,237.8707
Tennessee,2005,231.6881,237.8707
Texas,2005,241.9909,237.8707
Utah,2005,238.7974,237.8707
Vermont,2005,243.5289,237.8707
Virginia,2005,240.4976,237.8707
Washington,2005,241.6847,237.8707
West Virginia,2005,230.8433,237.8707
Wisconsin,2005,240.5686,237.8707
Wyoming,2005,242.9559,237.8707
United States,2003,234.9282,234.9282
Alabama,2003,223.3446,234.9282
Alaska,2003,232.9917,234.9282
Arizona,2003,228.9114,234.9282
Arkansas,2003,229.0066,234.9282
California,2003,227.455,234.9282
Colorado,2003,235.1931,234.9282
Connecticut,2003,240.6152,234.9282
Delaware,2003,235.8594,234.9282
District of Columbia,2003,204.9199,234.9282
DoDEA,2003,237.1937,234.9282
Florida,2003,233.7288,234.9282
Georgia,2003,230.255,234.9282
Hawaii,2003,226.8346,234.9282
Idaho,2003,234.9438,234.9282
Illinois,2003,232.8568,234.9282
Indiana,2003,237.9683,234.9282
Iowa,2003,238.4767,234.9282
Kansas,2003,241.7474,234.9282
Kentucky,2003,228.7263,234.9282
Louisiana,2003,226.2477,234.9282
Maine,2003,237.6157,234.9282
Maryland,2003,233.0799,234.9282
Massachusetts,2003,241.6645,234.9282
Michigan,2003,235.687,234.9282
Minnesota,2003,241.9123,234.9282
Mississippi,2003,222.8906,234.9282
Missouri,2003,234.8364,234.9282
Montana,2003,235.7549,234.9282
Nebraska,2003,236.2541,234.9282
Nevada,2003,227.5136,234.9282
New Hampshire,2003,243.1101,234.9282
New Jersey,2003,238.7765,234.9282
New Mexico,2003,222.518,234.9282
New York,2003,235.9301,234.9282
North Carolina,2003,242.0401,234.9282
North Dakota,2003,237.5774,234.9282
Ohio,2003,237.7821,234.9282
Oklahoma,2003,229.0966,234.9282
Oregon,2003,236.3059,234.9282
Pennsylvania,2003,235.947,234.9282
Puerto Rico,2003,NA,234.9282
Rhode Island,2003,230.298,234.9282
South Carolina,2003,235.7932,234.9282
South Dakota,2003,237.2648,234.9282
Tennessee,2003,227.755,234.9282
Texas,2003,237.3059,234.9282
Utah,2003,234.783,234.9282
Vermont,2003,241.9261,234.9282
Virginia,2003,239.2031,234.9282
Washington,2003,238.2928,234.9282
West Virginia,2003,230.7677,234.9282
Wisconsin,2003,236.7554,234.9282
Wyoming,2003,241.0857,234.9282
