Year,State,All staff,Teachers,Teachers as a %
2018,Illinois,248681.54,128203.64,51.55334007
2018,Indiana,142014.38,61018.37,42.966332
2018,Iowa,75694.41,35552.6,46.96859385
2018,Kansas,69441.54,36387.27,52.39986037
2018,Kentucky,98363.05,42064.18,42.76420871
2018,Louisiana,81650.47,40280.89,49.33332288
2018,Maine,35983.1,14760.1,41.01953417
2018,Maryland,118384.45,60174.75,50.8299443
2018,Massachusetts,132726.62,73381.11,55.28740956
2018,Michigan,184986.01,84472.51,45.66426942
2018,Minnesota,121034.59,57259.83,47.30864954
2018,Mississippi,67521.05,31624.51,46.83651987
2018,Missouri,125778.88,68496.29,54.45770387
2018,Montana,21223.24,10515.4,49.54662907
2018,Nebraska,48012.22,23771.26,49.5108537
2018,Nevada,35847.83,23708.98,66.13783875
2018,New Hampshire,31618.2,14588.8,46.14051401
2018,New Jersey,238785.39,115496.09,48.36815602
2018,New Mexico,36472.74,21091.98,57.82943645
2018,New York,425291.64,213158.85,50.12063016
2018,North Carolina,193798.19,100400.79,51.80687704
2018,North Dakota,18598.55,9283.52,49.9152891
2018,Ohio,323565.81,98912.16,30.56941028
2018,Oklahoma,85021.33,41596.76,48.92508739
2018,Oregon,68520.27,29909.17,43.65010529
2018,Pennsylvania,244015.44,121917.67,49.9630966
2018,Rhode Island,20376.41,10686.99,52.44785514
2018,South Carolina,88409.65,52466.8,59.34510543
2018,South Dakota,19787.34,9832.61,49.69141886
2018,Tennessee,131312,64019.4,48.75365542
2018,Texas,713763.75,356877.48,49.99938425
2018,Utah,60086.41,29211.6,48.61598488
2018,Vermont,18268.18,8313.18,45.50633944
2018,Virginia,183484.76,85936.47,46.83575355
2018,Washington,99520.3,60183.24,60.47333057
2018,West Virginia,37602.66,19238.61,51.16289645
2018,Wisconsin,112000.57,58597.65,52.31906409
2018,Wyoming,16580.09,7334.63,44.23757651
2019,United States,6557054.05,3169762.14,48.3412538
2019,Alabama,76492.75,42113.64,55.0557275
2019,Alaska,17114,7656.78,44.7398621
2019,Arizona,105177.09,48510.41,46.12260141
2019,Arkansas,76287.38,38019.16,49.83676199
2019,California,613096.02,271805.2,44.3332188
2019,Colorado,115528.25,53146.65,46.00316373
2019,Connecticut,96103.31,42827.56,44.56408421
2019,Delaware,18954.93,9623.64,50.77117141
2019,District of Columbia,15682.98,7312.33,46.62589635
2019,Florida,336556.07,164398.73,48.84735254
2019,Georgia,234162.4,117159.3,50.03335292
2019,Hawaii,23176.9,12132.1,52.34565451
2019,Idaho,29356.7,16745.31,57.04084587
2019,Illinois,261629.15,132423.07,50.61479961
2019,Indiana,143562.82,61154.81,42.59794423
2019,Iowa,76347.96,35618.46,46.65279858
2019,Kansas,71519.49,36723.89,51.34808707
2019,Kentucky,97614.73,41826.9,42.84896347
2019,Louisiana,79742.21,38913.16,48.7986977
2019,Maine,36298.4,15033.9,41.41752805
2019,Maryland,119786.4,60698.9,50.67261392
2019,Massachusetts,134075,73868.49,55.09490211
2019,Michigan,188752.61,85015.36,45.04062752
2019,Minnesota,122643.66,57698.44,47.04559535
2019,Mississippi,67299.47,31962.71,47.49325663
2019,Missouri,125331,68498.46,54.65404409
2019,Montana,21388.27,10575.24,49.44411119
2019,Nebraska,48649.28,23911.6,49.15098435
2019,Nevada,27004,23240,86.06132425
